"Sample Name","CT","Delta Rn","Tm1","Tm2","Tm3","Tm4","Annealing_temperature(?C)","Primer_concentration_(uM)","Primer_volume","Primer_name","Sample_volume","Additional_comments","Well Position","filename","run_endtime","Well","Omit","Target Name","Task","Reporter","Quencher","Ct Mean","Ct SD","Quantity","Quantity Mean","Quantity SD","Y-Intercept","R(superscript 2)","Slope","Efficiency","Automatic Ct Threshold","Ct Threshold","Automatic Baseline","Baseline Start","Baseline End","Amp Status","Comments","Cq Conf","CQCONF","HIGHSD","PRFDROP","OUTLIERRG","MTP"
"634","35.9337539672852","1.64096939563751","82.6761093139648","","","","65","10","0.5","Lutjanidae1","4.4","sentino","A1","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-05 16:05:27 PM AWST","1","FALSE","Target 1","UNKNOWN","SYBR","None","34.8463020324707","0.956444323062897","","","","","","","","TRUE","0.0947634944346201","TRUE","3","32","Amp","65, 10, 0.5, Lutjanidae1, 4.4, sentino","0.912882848010414","N","Y","N","N","N"
"634","34.4695167541504","1.56289827823639","82.4585571289062","","","","65","10","0.5","Lutjanidae1","4.4","sentino","A2","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-05 16:05:27 PM AWST","2","FALSE","Target 1","UNKNOWN","SYBR","None","34.8463020324707","0.956444323062897","","","","","","","","TRUE","0.0947634944346201","TRUE","3","31","Amp","65, 10, 0.5, Lutjanidae1, 4.4, sentino","0.897029519087509","N","Y","N","N","N"
"634","34.1356315612793","1.4849761724472","82.6274185180664","","","","65","10","0.5","Lutjanidae1","4.4","sentino","A3","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-05 16:05:27 PM AWST","3","FALSE","Target 1","UNKNOWN","SYBR","None","34.8463020324707","0.956444323062897","","","","","","","","TRUE","0.0947634944346201","TRUE","3","28","Amp","65, 10, 0.5, Lutjanidae1, 4.4, sentino","0.895900362792129","N","Y","N","N","N"
"635","37.6263236999512","2.07463073730469","83.8786926269531","","","","65","10","0.5","Lutjanidae1","4.4","sentino","A4","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-05 16:05:27 PM AWST","4","FALSE","Target 1","UNKNOWN","SYBR","None","34.8892517089844","2.37224674224854","","","","","","","","TRUE","0.0947634944346201","TRUE","3","34","Amp","65, 10, 0.5, Lutjanidae1, 4.4, sentino","0.921991327266789","N","Y","N","N","N"
"635","33.6149940490723","2.24090933799744","82.9924468994141","","","","65","10","0.5","Lutjanidae1","4.4","sentino","A5","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-05 16:05:27 PM AWST","5","FALSE","Target 1","UNKNOWN","SYBR","None","34.8892517089844","2.37224674224854","","","","","","","","TRUE","0.0947634944346201","TRUE","3","29","Amp","65, 10, 0.5, Lutjanidae1, 4.4, sentino","0.899123063883111","N","Y","N","N","N"
"635","33.426441192627","2.2210054397583","82.9380874633789","","","","65","10","0.5","Lutjanidae1","4.4","sentino","A6","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-05 16:05:27 PM AWST","6","FALSE","Target 1","UNKNOWN","SYBR","None","34.8892517089844","2.37224674224854","","","","","","","","TRUE","0.0947634944346201","TRUE","3","29","Amp","65, 10, 0.5, Lutjanidae1, 4.4, sentino","0.889411261123403","N","Y","N","N","N"
"636","32.455451965332","2.32827949523926","82.8349914550781","","","","65","10","0.5","Lutjanidae1","4.4","sentino","A7","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-05 16:05:27 PM AWST","7","FALSE","Target 1","UNKNOWN","SYBR","None","32.3583679199219","0.605381906032562","","","","","","","","TRUE","0.0947634944346201","TRUE","3","29","Amp","65, 10, 0.5, Lutjanidae1, 4.4, sentino","0.941853686967922","N","Y","N","N","N"
"636","31.7103099822998","2.0553879737854","83.541862487793","","","","65","10","0.5","Lutjanidae1","4.4","sentino","A8","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-05 16:05:27 PM AWST","8","FALSE","Target 1","UNKNOWN","SYBR","None","32.3583679199219","0.605381906032562","","","","","","","","TRUE","0.0947634944346201","TRUE","3","27","Amp","65, 10, 0.5, Lutjanidae1, 4.4, sentino","0.976147093664136","N","Y","N","N","N"
"636","32.9093399047852","2.4197461605072","83.6639099121094","","","","65","10","0.5","Lutjanidae1","4.4","sentino","A9","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-05 16:05:27 PM AWST","9","FALSE","Target 1","UNKNOWN","SYBR","None","32.3583679199219","0.605381906032562","","","","","","","","TRUE","0.0947634944346201","TRUE","3","28","Amp","65, 10, 0.5, Lutjanidae1, 4.4, sentino","0.951595677756364","N","Y","N","N","N"
"637_WC","31.7262783050537","2.18286204338074","83.3918380737305","","","","65","10","0.5","Lutjanidae1","4.4","control_sentino","A10","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-05 16:05:27 PM AWST","10","FALSE","Target 1","UNKNOWN","SYBR","None","30.6950149536133","1.0706273317337","","","","","","","","TRUE","0.0947634944346201","TRUE","3","27","Amp","65, 10, 0.5, Lutjanidae1, 4.4, control_sentino","0.85016981950492","N","Y","N","N","N"
