"Sample Name","CT","Delta Rn","Tm1","Tm2","Tm3","Tm4","Annealing_temperature(?C)","Primer_concentration_(uM)","Primer_volume","Primer_name","Sample_volume","Additional_comments","Well Position","filename","run_endtime","Well","Omit","Target Name","Task","Reporter","Quencher","Ct Mean","Ct SD","Quantity","Quantity Mean","Quantity SD","Y-Intercept","R(superscript 2)","Slope","Efficiency","Automatic Ct Threshold","Ct Threshold","Automatic Baseline","Baseline Start","Baseline End","Amp Status","Comments","Cq Conf","CQCONF","EXPFAIL","HIGHSD","OUTLIERRG","MTP","NOAMP"
"713_WC","49.0223159790039","0.163226783275604","80.2952651977539","","","","55","10","0.5","16S","4.4","control_sentino","A1","2022-10-14_fieldtrip2_16S_plate2","2022-10-14 14:45:03 PM AWST","1","FALSE","Target 1","UNKNOWN","SYBR","None","44.1692657470703","6.8632493019104","","","","","","","","TRUE","0.0996861420622498","TRUE","3","44","No Amp","55, 10, 0.5, 16S, 4.4, control_sentino","0","Y","N","Y","N","N","N"
"713_WC","Undetermined","-0.154563590884209","55.5500907897949","","","","55","10","0.5","16S","4.4","control_sentino","A2","2022-10-14_fieldtrip2_16S_plate2","2022-10-14 14:45:03 PM AWST","2","FALSE","Target 1","UNKNOWN","SYBR","None","44.1692657470703","6.8632493019104","","","","","","","","TRUE","0.0996861420622498","TRUE","3","12","No Amp","55, 10, 0.5, 16S, 4.4, control_sentino","0","Y","N","N","N","N","N"
"713_WC","39.3162155151367","2.22759413719177","79.5320205688477","","","","55","10","0.5","16S","4.4","control_sentino","A3","2022-10-14_fieldtrip2_16S_plate2","2022-10-14 14:45:03 PM AWST","3","FALSE","Target 1","UNKNOWN","SYBR","None","44.1692657470703","6.8632493019104","","","","","","","","TRUE","0.0996861420622498","TRUE","3","35","Amp","55, 10, 0.5, 16S, 4.4, control_sentino","0.902530147875543","N","N","Y","N","N","N"
"714","42.1688995361328","0.81866443157196","82.7221374511719","","","","55","10","0.5","16S","4.4","sentino","A4","2022-10-14_fieldtrip2_16S_plate2","2022-10-14 14:45:03 PM AWST","4","FALSE","Target 1","UNKNOWN","SYBR","None","41.349422454834","1.12610650062561","","","","","","","","TRUE","0.0996861420622498","TRUE","3","37","Amp","55, 10, 0.5, 16S, 4.4, sentino","0.962195730156267","N","N","Y","N","N","N"
"714","41.8140144348145","0.8728147149086","83.2575836181641","","","","55","10","0.5","16S","4.4","sentino","A5","2022-10-14_fieldtrip2_16S_plate2","2022-10-14 14:45:03 PM AWST","5","FALSE","Target 1","UNKNOWN","SYBR","None","41.349422454834","1.12610650062561","","","","","","","","TRUE","0.0996861420622498","TRUE","3","36","Amp","55, 10, 0.5, 16S, 4.4, sentino","0.969899630441061","N","N","Y","N","N","N"
"714","40.0653495788574","1.06738877296448","84.4670181274414","87.7104949951172","82.1031188964844","","55","10","0.5","16S","4.4","sentino","A6","2022-10-14_fieldtrip2_16S_plate2","2022-10-14 14:45:03 PM AWST","6","FALSE","Target 1","UNKNOWN","SYBR","None","41.349422454834","1.12610650062561","","","","","","","","TRUE","0.0996861420622498","TRUE","3","34","Amp","55, 10, 0.5, 16S, 4.4, sentino","0.975065636117649","N","N","Y","N","Y","N"
"715","38.3483123779297","2.53658032417297","83.2072906494141","85.0767517089844","","","55","10","0.5","16S","4.4","sentino","A7","2022-10-14_fieldtrip2_16S_plate2","2022-10-14 14:45:03 PM AWST","7","FALSE","Target 1","UNKNOWN","SYBR","None","38.1469917297363","0.574155628681183","","","","","","","","TRUE","0.0996861420622498","TRUE","3","33","Amp","55, 10, 0.5, 16S, 4.4, sentino","0.986530860551197","N","N","Y","N","Y","N"
"715","37.4992904663086","2.31374073028564","83.4822082519531","","","","55","10","0.5","16S","4.4","sentino","A8","2022-10-14_fieldtrip2_16S_plate2","2022-10-14 14:45:03 PM AWST","8","FALSE","Target 1","UNKNOWN","SYBR","None","38.1469917297363","0.574155628681183","","","","","","","","TRUE","0.0996861420622498","TRUE","3","33","Amp","55, 10, 0.5, 16S, 4.4, sentino","0.990839009850972","N","N","Y","N","N","N"
"715","38.5933799743652","2.36667394638062","83.6030426025391","","","","55","10","0.5","16S","4.4","sentino","A9","2022-10-14_fieldtrip2_16S_plate2","2022-10-14 14:45:03 PM AWST","9","FALSE","Target 1","UNKNOWN","SYBR","None","38.1469917297363","0.574155628681183","","","","","","","","TRUE","0.0996861420622498","TRUE","3","33","Amp","55, 10, 0.5, 16S, 4.4, sentino","0.992273559180809","N","N","Y","N","N","N"
"716","41.707275390625","1.09471929073334","82.3929290771484","","","","55","10","0.5","16S","4.4","sentino","A10","2022-10-14_fieldtrip2_16S_plate2","2022-10-14 14:45:03 PM AWST","10","FALSE","Target 1","UNKNOWN","SYBR","None","42.9934234619141","1.81889069080353","","","","","","","","TRUE","0.0996861420622498","TRUE","3","37","Amp","55, 10, 0.5, 16S, 4.4, sentino","0.977646305440338","N","N","Y","N","N","N"
"716","44.2795753479004","0.687489867210388","82.2177352905273","","","","55","10","0.5","16S","4.4","sentino","A11","2022-10-14_fieldtrip2_16S_plate2","2022-10-14 14:45:03 PM AWST","11","FALSE","Target 1","UNKNOWN","SYBR","None","42.9934234619141","1.81889069080353","","","","","","","","TRUE","0.0996861420622498","TRUE","3","39","Amp","55, 10, 0.5, 16S, 4.4, sentino","0.942867907288142","N","N","Y","N","N","N"
