"Sample Name","CT","Delta Rn","Tm1","Tm2","Tm3","Tm4","Annealing_temperature(?C)","Primer_concentration_(uM)","Primer_volume","Primer_name","Sample_volume","Additional_comments","Well Position","filename","run_endtime","Well","Omit","Target Name","Task","Reporter","Quencher","Ct Mean","Ct SD","Quantity","Quantity Mean","Quantity SD","Y-Intercept","R(superscript 2)","Slope","Efficiency","Automatic Ct Threshold","Ct Threshold","Automatic Baseline","Baseline Start","Baseline End","Amp Status","Comments","Cq Conf","CQCONF","EXPFAIL","HIGHSD","MTP","NOAMP","OUTLIERRG"
"749_WC","43.7103996276855","1.1641298532486","80.2678756713867","89.2372894287109","92.1906280517578","61.5633811950684","55","10","0.5","16S","4.4","control_sentino","A1","2022-10-14_fieldtrip2_16S_plate3","2022-10-14 18:16:32 PM AWST","1","FALSE","Target 1","UNKNOWN","SYBR","None","45.8102264404297","1.89427399635315","","","","","","","","TRUE","0.164306873824341","TRUE","3","38","Amp","55, 10, 0.5, 16S, 4.4, control_sentino","0.8524644477659","N","N","Y","Y","N","N"
"749_WC","46.3297500610352","0.693981647491455","81.088249206543","92.6828460693359","69.0561141967773","86.6120910644531","55","10","0.5","16S","4.4","control_sentino","A2","2022-10-14_fieldtrip2_16S_plate3","2022-10-14 18:16:32 PM AWST","2","FALSE","Target 1","UNKNOWN","SYBR","None","45.8102264404297","1.89427399635315","","","","","","","","TRUE","0.164306873824341","TRUE","3","41","Amp","55, 10, 0.5, 16S, 4.4, control_sentino","0.837220886012025","N","N","Y","Y","N","N"
"749_WC","47.3905334472656","0.497531026601791","80.545654296875","","","","55","10","0.5","16S","4.4","control_sentino","A3","2022-10-14_fieldtrip2_16S_plate3","2022-10-14 18:16:32 PM AWST","3","FALSE","Target 1","UNKNOWN","SYBR","None","45.8102264404297","1.89427399635315","","","","","","","","TRUE","0.164306873824341","TRUE","3","42","Amp","55, 10, 0.5, 16S, 4.4, control_sentino","0.741331339406697","Y","N","Y","N","N","N"
"761","44.9331665039062","1.03982484340668","80.9832611083984","61.7833671569824","65.9406051635742","","55","10","0.5","16S","4.4","sentino","A4","2022-10-14_fieldtrip2_16S_plate3","2022-10-14 18:16:32 PM AWST","4","FALSE","Target 1","UNKNOWN","SYBR","None","42.873218536377","2.91320633888245","","","","","","","","TRUE","0.164306873824341","TRUE","3","39","Amp","55, 10, 0.5, 16S, 4.4, sentino","0.906241854554157","N","N","Y","Y","N","N"
"761","40.8132705688477","2.16753625869751","85.6750335693359","83.1051940917969","78.94970703125","","55","10","0.5","16S","4.4","sentino","A5","2022-10-14_fieldtrip2_16S_plate3","2022-10-14 18:16:32 PM AWST","5","FALSE","Target 1","UNKNOWN","SYBR","None","42.873218536377","2.91320633888245","","","","","","","","TRUE","0.164306873824341","TRUE","3","35","Amp","55, 10, 0.5, 16S, 4.4, sentino","0.940160813551229","N","N","Y","Y","N","N"
"761","Undetermined","-0.0428165197372437","55.0009994506836","","","","55","10","0.5","16S","4.4","sentino","A6","2022-10-14_fieldtrip2_16S_plate3","2022-10-14 18:16:32 PM AWST","6","FALSE","Target 1","UNKNOWN","SYBR","None","42.873218536377","2.91320633888245","","","","","","","","TRUE","0.164306873824341","TRUE","3","18","No Amp","55, 10, 0.5, 16S, 4.4, sentino","0","Y","N","N","N","N","N"
"762","Undetermined","0.0274853240698576","82.6150207519531","","","","55","10","0.5","16S","4.4","sentino","A7","2022-10-14_fieldtrip2_16S_plate3","2022-10-14 18:16:32 PM AWST","7","FALSE","Target 1","UNKNOWN","SYBR","None","41.0550079345703","0.36998325586319","","","","","","","","TRUE","0.164306873824341","TRUE","3","45","No Amp","55, 10, 0.5, 16S, 4.4, sentino","0","Y","N","N","N","N","N"
"762","41.3166275024414","1.33815586566925","83.2165222167969","","","","55","10","0.5","16S","4.4","sentino","A8","2022-10-14_fieldtrip2_16S_plate3","2022-10-14 18:16:32 PM AWST","8","FALSE","Target 1","UNKNOWN","SYBR","None","41.0550079345703","0.36998325586319","","","","","","","","TRUE","0.164306873824341","TRUE","3","34","Amp","55, 10, 0.5, 16S, 4.4, sentino","0.976212105954704","N","N","N","N","N","N"
"762","40.7933921813965","1.91811847686768","84.9248886108398","","","","55","10","0.5","16S","4.4","sentino","A9","2022-10-14_fieldtrip2_16S_plate3","2022-10-14 18:16:32 PM AWST","9","FALSE","Target 1","UNKNOWN","SYBR","None","41.0550079345703","0.36998325586319","","","","","","","","TRUE","0.164306873824341","TRUE","3","35","Amp","55, 10, 0.5, 16S, 4.4, sentino","0.922553275580919","N","N","N","N","N","N"
"763","42.0246086120605","1.37306356430054","81.5877914428711","","","","55","10","0.5","16S","4.4","sentino","A10","2022-10-14_fieldtrip2_16S_plate3","2022-10-14 18:16:32 PM AWST","10","FALSE","Target 1","UNKNOWN","SYBR","None","42.6459197998047","1.29718804359436","","","","","","","","TRUE","0.164306873824341","TRUE","3","37","Amp","55, 10, 0.5, 16S, 4.4, sentino","0.970906632259154","N","N","Y","N","N","N"
"763","44.136905670166","1.03623688220978","84.3542785644531","82.1718444824219","66.4037933349609","","55","10","0.5","16S","4.4","sentino","A11","2022-10-14_fieldtrip2_16S_plate3","2022-10-14 18:16:32 PM AWST","11","FALSE","Target 1","UNKNOWN","SYBR","None","42.6459197998047","1.29718804359436","","","","","","","","TRUE","0.164306873824341","TRUE","3","38","Amp","55, 10, 0.5, 16S, 4.4, sentino","0.942545708800743","N","N","Y","Y","N","N"
"763","41.7762489318848","1.30234122276306","82.9356994628906","","","","55","10","0.5","16S","4.4","sentino","A12","2022-10-14_fieldtrip2_16S_plate3","2022-10-14 18:16:32 PM AWST","12","FALSE","Target 1","UNKNOWN","SYBR","None","42.6459197998047","1.29718804359436","","","","","","","","TRUE","0.164306873824341","TRUE","3","35","Amp","55, 10, 0.5, 16S, 4.4, sentino","0.962622425577507","N","N","Y","N","N","N"
"764_WC","Undetermined","-0.015855435281992","55.1097831726074","","","","55","10","0.5","16S","4.4","control_sentino","B1","2022-10-14_fieldtrip2_16S_plate3","2022-10-14 18:16:32 PM AWST","13","FALSE","Target 1","UNKNOWN","SYBR","None","","","","","","","","","","TRUE","0.164306873824341","TRUE","3","49","No Amp","55, 10, 0.5, 16S, 4.4, control_sentino","0","Y","Y","N","N","N","N"
"764_WC","Undetermined","-0.0101244701072574","55.0004005432129","","","","55","10","0.5","16S","4.4","control_sentino","B2","2022-10-14_fieldtrip2_16S_plate3","2022-10-14 18:16:32 PM AWST","14","FALSE","Target 1","UNKNOWN","SYBR","None","","","","","","","","","","TRUE","0.164306873824341","TRUE","3","49","No Amp","55, 10, 0.5, 16S, 4.4, control_sentino","0","Y","Y","N","N","N","N"
"764_WC","Undetermined","-0.00401209341362119","55.0004997253418","","","","55","10","0.5","16S","4.4","control_sentino","B3","2022-10-14_fieldtrip2_16S_plate3","2022-10-14 18:16:32 PM AWST","15","FALSE","Target 1","UNKNOWN","SYBR","None","","","","","","","","","","TRUE","0.164306873824341","TRUE","3","49","No Amp","55, 10, 0.5, 16S, 4.4, control_sentino","0","Y","Y","N","N","N","N"
"765","42.3623847961426","1.12392044067383","83.1712799072266","","","","55","10","0.5","16S","4.4","sentino","B4","2022-10-14_fieldtrip2_16S_plate3","2022-10-14 18:16:32 PM AWST","16","FALSE","Target 1","UNKNOWN","SYBR","None","40.2865905761719","2.93561363220215","","","","","","","","TRUE","0.164306873824341","TRUE","3","36","Amp","55, 10, 0.5, 16S, 4.4, sentino","0.916593451443962","N","N","Y","N","N","N"
"765","Undetermined","-0.00805000308901072","55.0009994506836","","","","55","10","0.5","16S","4.4","sentino","B5","2022-10-14_fieldtrip2_16S_plate3","2022-10-14 18:16:32 PM AWST","17","FALSE","Target 1","UNKNOWN","SYBR","None","40.2865905761719","2.93561363220215","","","","","","","","TRUE","0.164306873824341","TRUE","3","49","No Amp","55, 10, 0.5, 16S, 4.4, sentino","0","Y","Y","N","N","N","N"
