"Sample Name","CT","Delta Rn","Tm1","Tm2","Tm3","Tm4","Annealing_temperature(?C)","Primer_concentration_(uM)","Primer_volume","Primer_name","Sample_volume","Additional_comments","Well Position","filename","run_endtime","Well","Omit","Target Name","Task","Reporter","Quencher","Ct Mean","Ct SD","Quantity","Quantity Mean","Quantity SD","Y-Intercept","R(superscript 2)","Slope","Efficiency","Automatic Ct Threshold","Ct Threshold","Automatic Baseline","Baseline Start","Baseline End","Amp Status","Comments","Cq Conf","CQCONF","HIGHSD","OUTLIERRG","MTP"
"713_WC","36.7736206054688","2.38635659217834","82.7509918212891","81.3856048583984","73.0840759277344","93.1825256347656","65","10","0.5","Lutjanidae1","4.4","control_sentino","A1","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-14 14:00:17 PM AWST","1","FALSE","Target 1","UNKNOWN","SYBR","None","37.0025444030762","0.558526933193207","","","","","","","","TRUE","0.0952924585079589","TRUE","3","33","Amp","65, 10, 0.5, Lutjanidae1, 4.4, control_sentino","0.872014622020042","N","Y","N","Y"
"713_WC","37.63916015625","2.37988209724426","74.7771453857422","73.1933059692383","67.7863845825195","71.0086898803711","65","10","0.5","Lutjanidae1","4.4","control_sentino","A2","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-14 14:00:17 PM AWST","2","FALSE","Target 1","UNKNOWN","SYBR","None","37.0025444030762","0.558526933193207","","","","","","","","TRUE","0.0952924585079589","TRUE","3","34","Amp","65, 10, 0.5, Lutjanidae1, 4.4, control_sentino","0.9050154505122","N","Y","N","Y"
"713_WC","36.5948448181152","2.48981499671936","82.7981948852539","","","","65","10","0.5","Lutjanidae1","4.4","control_sentino","A3","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-14 14:00:17 PM AWST","3","FALSE","Target 1","UNKNOWN","SYBR","None","37.0025444030762","0.558526933193207","","","","","","","","TRUE","0.0952924585079589","TRUE","3","32","Amp","65, 10, 0.5, Lutjanidae1, 4.4, control_sentino","0.906867973870709","N","Y","N","N"
"714","45.157642364502","0.597918391227722","82.4696197509766","","","","65","10","0.5","Lutjanidae1","4.4","sentino","A4","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-14 14:00:17 PM AWST","4","FALSE","Target 1","UNKNOWN","SYBR","None","42.7861480712891","2.46010708808899","","","","","","","","TRUE","0.0952924585079589","TRUE","3","40","Amp","65, 10, 0.5, Lutjanidae1, 4.4, sentino","0.916008461723037","N","Y","N","N"
"714","42.954704284668","1.03549945354462","82.8242950439453","","","","65","10","0.5","Lutjanidae1","4.4","sentino","A5","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-14 14:00:17 PM AWST","5","FALSE","Target 1","UNKNOWN","SYBR","None","42.7861480712891","2.46010708808899","","","","","","","","TRUE","0.0952924585079589","TRUE","3","38","Amp","65, 10, 0.5, Lutjanidae1, 4.4, sentino","0.950806766205801","N","Y","N","N"
"714","40.2460975646973","1.24080288410187","82.8789672851562","","","","65","10","0.5","Lutjanidae1","4.4","sentino","A6","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-14 14:00:17 PM AWST","6","FALSE","Target 1","UNKNOWN","SYBR","None","42.7861480712891","2.46010708808899","","","","","","","","TRUE","0.0952924585079589","TRUE","3","36","Amp","65, 10, 0.5, Lutjanidae1, 4.4, sentino","0.977221755614685","N","Y","N","N"
"715","42.671443939209","1.83715176582336","82.73046875","","","","65","10","0.5","Lutjanidae1","4.4","sentino","A7","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-14 14:00:17 PM AWST","7","FALSE","Target 1","UNKNOWN","SYBR","None","39.6477470397949","3.74144554138184","","","","","","","","TRUE","0.0952924585079589","TRUE","3","39","Amp","65, 10, 0.5, Lutjanidae1, 4.4, sentino","0.979297085860468","N","Y","N","N"
"715","35.463565826416","2.74341678619385","83.113525390625","","","","65","10","0.5","Lutjanidae1","4.4","sentino","A8","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-14 14:00:17 PM AWST","8","FALSE","Target 1","UNKNOWN","SYBR","None","39.6477470397949","3.74144554138184","","","","","","","","TRUE","0.0952924585079589","TRUE","3","32","Amp","65, 10, 0.5, Lutjanidae1, 4.4, sentino","0.988168612538871","N","Y","N","N"
"715","40.8082275390625","2.21952843666077","82.426628112793","","","","65","10","0.5","Lutjanidae1","4.4","sentino","A9","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-14 14:00:17 PM AWST","9","FALSE","Target 1","UNKNOWN","SYBR","None","39.6477470397949","3.74144554138184","","","","","","","","TRUE","0.0952924585079589","TRUE","3","35","Amp","65, 10, 0.5, Lutjanidae1, 4.4, sentino","0.954406147734669","N","Y","N","N"
"716","36.8447761535645","1.81503403186798","82.5910263061523","","","","65","10","0.5","Lutjanidae1","4.4","sentino","A10","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-14 14:00:17 PM AWST","10","FALSE","Target 1","UNKNOWN","SYBR","None","38.7605133056641","3.29020881652832","","","","","","","","TRUE","0.0952924585079589","TRUE","3","32","Amp","65, 10, 0.5, Lutjanidae1, 4.4, sentino","0.953306136657298","N","Y","N","N"
"716","36.8770904541016","2.0193464756012","82.8253707885742","","","","65","10","0.5","Lutjanidae1","4.4","sentino","A11","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-14 14:00:17 PM AWST","11","FALSE","Target 1","UNKNOWN","SYBR","None","38.7605133056641","3.29020881652832","","","","","","","","TRUE","0.0952924585079589","TRUE","3","31","Amp","65, 10, 0.5, Lutjanidae1, 4.4, sentino","0.968634620295927","N","Y","N","N"
"716","42.5596733093262","1.34732472896576","81.5131301879883","","","","65","10","0.5","Lutjanidae1","4.4","sentino","A12","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-14 14:00:17 PM AWST","12","FALSE","Target 1","UNKNOWN","SYBR","None","38.7605133056641","3.29020881652832","","","","","","","","TRUE","0.0952924585079589","TRUE","3","39","Amp","65, 10, 0.5, Lutjanidae1, 4.4, sentino","0.873584005042862","N","Y","Y","N"
"717_WC","38.5767059326172","0.664274096488953","82.9694519042969","","","","65","10","0.5","Lutjanidae1","4.4","control_sentino","B1","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-14 14:00:17 PM AWST","13","FALSE","Target 1","UNKNOWN","SYBR","None","39.7153053283691","1.98046278953552","","","","","","","","TRUE","0.0952924585079589","TRUE","3","34","Amp","65, 10, 0.5, Lutjanidae1, 4.4, control_sentino","0.868350074311879","N","Y","N","N"
"717_WC","38.5670700073242","0.616694450378418","81.7679138183594","","","","65","10","0.5","Lutjanidae1","4.4","control_sentino","B2","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-14 14:00:17 PM AWST","14","FALSE","Target 1","UNKNOWN","SYBR","None","39.7153053283691","1.98046278953552","","","","","","","","TRUE","0.0952924585079589","TRUE","3","33","Amp","65, 10, 0.5, Lutjanidae1, 4.4, control_sentino","0.9347097771814","N","Y","N","N"
"717_WC","42.002140045166","0.590583860874176","81.9767532348633","","","","65","10","0.5","Lutjanidae1","4.4","control_sentino","B3","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-14 14:00:17 PM AWST","15","FALSE","Target 1","UNKNOWN","SYBR","None","39.7153053283691","1.98046278953552","","","","","","","","TRUE","0.0952924585079589","TRUE","3","37","Amp","65, 10, 0.5, Lutjanidae1, 4.4, control_sentino","0.93835073832","N","Y","Y","N"
"718","40.8615798950195","2.2504608631134","82.1410369873047","","","","65","10","0.5","Lutjanidae1","4.4","sentino","B4","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-14 14:00:17 PM AWST","16","FALSE","Target 1","UNKNOWN","SYBR","None","38.7934226989746","1.79209136962891","","","","","","","","TRUE","0.0952924585079589","TRUE","3","36","Amp","65, 10, 0.5, Lutjanidae1, 4.4, sentino","0.949129031911657","N","Y","N","N"
"718","37.6990165710449","2.60109329223633","81.6761169433594","","","","65","10","0.5","Lutjanidae1","4.4","sentino","B5","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-14 14:00:17 PM AWST","17","FALSE","Target 1","UNKNOWN","SYBR","None","38.7934226989746","1.79209136962891","","","","","","","","TRUE","0.0952924585079589","TRUE","3","32","Amp","65, 10, 0.5, Lutjanidae1, 4.4, sentino","0.949312752947442","N","Y","N","N"
"718","37.8196754455566","2.87686514854431","83.0976715087891","","","","65","10","0.5","Lutjanidae1","4.4","sentino","B6","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-14 14:00:17 PM AWST","18","FALSE","Target 1","UNKNOWN","SYBR","None","38.7934226989746","1.79209136962891","","","","","","","","TRUE","0.0952924585079589","TRUE","3","33","Amp","65, 10, 0.5, Lutjanidae1, 4.4, sentino","0.957335032019584","N","Y","N","N"
