"Sample Name","CT","Delta Rn","Tm1","Tm2","Tm3","Tm4","Annealing_temperature(?C)","Primer_concentration_(uM)","Primer_volume","Primer_name","Sample_volume","Additional_comments","Well Position","filename","run_endtime","Well","Omit","Target Name","Task","Reporter","Quencher","Ct Mean","Ct SD","Quantity","Quantity Mean","Quantity SD","Y-Intercept","R(superscript 2)","Slope","Efficiency","Automatic Ct Threshold","Ct Threshold","Automatic Baseline","Baseline Start","Baseline End","Amp Status","Comments","Cq Conf","MTP","HIGHSD","OUTLIERRG"
"749_WC","29.5587482452393","2.39205956459045","83.1979675292969","","","","65","10","0.5","Lutjanidae1","4.4","control_sentino","A1","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-14 17:22:56 PM AWST","1","FALSE","Target 1","UNKNOWN","SYBR","None","30.4963474273682","1.01082396507263","","","","","","","","TRUE","0.135016590886038","TRUE","3","23","Amp","65, 10, 0.5, Lutjanidae1, 4.4, control_sentino","0.914371750468071","N","Y","N"
"749_WC","31.5671825408936","2.39439511299133","83.1979675292969","","","","65","10","0.5","Lutjanidae1","4.4","control_sentino","A2","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-14 17:22:56 PM AWST","2","FALSE","Target 1","UNKNOWN","SYBR","None","30.4963474273682","1.01082396507263","","","","","","","","TRUE","0.135016590886038","TRUE","3","27","Amp","65, 10, 0.5, Lutjanidae1, 4.4, control_sentino","0.940400331264342","N","Y","N"
"749_WC","30.3631172180176","2.49326062202454","93.748420715332","91.8245620727539","69.1230545043945","71.3217468261719","65","10","0.5","Lutjanidae1","4.4","control_sentino","A3","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-14 17:22:56 PM AWST","3","FALSE","Target 1","UNKNOWN","SYBR","None","30.4963474273682","1.01082396507263","","","","","","","","TRUE","0.135016590886038","TRUE","3","25","Amp","65, 10, 0.5, Lutjanidae1, 4.4, control_sentino","0.95221718471422","Y","Y","N"
"761","33.669750213623","2.5301456451416","83.1946868896484","","","","65","10","0.5","Lutjanidae1","4.4","sentino","A4","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-14 17:22:56 PM AWST","4","FALSE","Target 1","UNKNOWN","SYBR","None","35.8533363342285","4.16345930099487","","","","","","","","TRUE","0.135016590886038","TRUE","3","29","Amp","65, 10, 0.5, Lutjanidae1, 4.4, sentino","0.927774858986684","N","Y","N"
"761","33.2359085083008","2.55930614471436","83.2300262451172","","","","65","10","0.5","Lutjanidae1","4.4","sentino","A5","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-14 17:22:56 PM AWST","5","FALSE","Target 1","UNKNOWN","SYBR","None","35.8533363342285","4.16345930099487","","","","","","","","TRUE","0.135016590886038","TRUE","3","28","Amp","65, 10, 0.5, Lutjanidae1, 4.4, sentino","0.925703524685861","N","Y","N"
"761","40.6543579101562","2.2883837223053","82.2416687011719","","","","65","10","0.5","Lutjanidae1","4.4","sentino","A6","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-14 17:22:56 PM AWST","6","FALSE","Target 1","UNKNOWN","SYBR","None","35.8533363342285","4.16345930099487","","","","","","","","TRUE","0.135016590886038","TRUE","3","36","Amp","65, 10, 0.5, Lutjanidae1, 4.4, sentino","0.936242282554562","N","Y","N"
"762","44.1626129150391","1.50821757316589","82.419189453125","","","","65","10","0.5","Lutjanidae1","4.4","sentino","A7","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-14 17:22:56 PM AWST","7","FALSE","Target 1","UNKNOWN","SYBR","None","39.6979103088379","4.13229703903198","","","","","","","","TRUE","0.135016590886038","TRUE","3","39","Amp","65, 10, 0.5, Lutjanidae1, 4.4, sentino","0.906832158871406","N","Y","N"
"762","38.9235382080078","2.23855018615723","70.3298873901367","67.5273666381836","83.2984085083008","72.1982345581055","65","10","0.5","Lutjanidae1","4.4","sentino","A8","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-14 17:22:56 PM AWST","8","FALSE","Target 1","UNKNOWN","SYBR","None","39.6979103088379","4.13229703903198","","","","","","","","TRUE","0.135016590886038","TRUE","3","34","Amp","65, 10, 0.5, Lutjanidae1, 4.4, sentino","0.968775603740983","Y","Y","N"
"762","36.0075798034668","2.14585471153259","83.1525650024414","88.7635803222656","","","65","10","0.5","Lutjanidae1","4.4","sentino","A9","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-14 17:22:56 PM AWST","9","FALSE","Target 1","UNKNOWN","SYBR","None","39.6979103088379","4.13229703903198","","","","","","","","TRUE","0.135016590886038","TRUE","3","31","Amp","65, 10, 0.5, Lutjanidae1, 4.4, sentino","0.923979573032218","Y","Y","N"
"763","39.6758270263672","1.94381737709045","83.1525650024414","","","","65","10","0.5","Lutjanidae1","4.4","sentino","A10","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-14 17:22:56 PM AWST","10","FALSE","Target 1","UNKNOWN","SYBR","None","36.4428291320801","3.03374719619751","","","","","","","","TRUE","0.135016590886038","TRUE","3","34","Amp","65, 10, 0.5, Lutjanidae1, 4.4, sentino","0.950565835033123","N","Y","N"
