"Sample Name","CT","Delta Rn","Tm1","Tm2","Tm3","Tm4","Annealing_temperature(?C)","Primer_concentration_(uM)","Primer_volume","Primer_name","Sample_volume","Additional_comments","Well Position","filename","run_endtime","Well","Omit","Target Name","Task","Reporter","Quencher","Ct Mean","Ct SD","Quantity","Quantity Mean","Quantity SD","Y-Intercept","R(superscript 2)","Slope","Efficiency","Automatic Ct Threshold","Ct Threshold","Automatic Baseline","Baseline Start","Baseline End","Amp Status","Comments","Cq Conf","CQCONF","HIGHSD","MTP"
"749_WC","28.2076225280762","1.80200827121735","81.0677795410156","","","","55","10","0.5","16SNEST","4.4","control_sentino","A1","2022-10-24_fieldtrip2_16SNEST_plate3","2022-10-24 17:54:25 PM AWST","1","FALSE","Target 1","UNKNOWN","SYBR","None","27.9143161773682","0.277515232563019","","","","","","","","TRUE","0.128277170156783","TRUE","3","24","Amp","55, 10, 0.5, 16SNEST, 4.4, control_sentino","0.871350721105532","N","N","N"
"749_WC","27.6558895111084","1.97070550918579","81.0129013061523","","","","55","10","0.5","16SNEST","4.4","control_sentino","A2","2022-10-24_fieldtrip2_16SNEST_plate3","2022-10-24 17:54:25 PM AWST","2","FALSE","Target 1","UNKNOWN","SYBR","None","27.9143161773682","0.277515232563019","","","","","","","","TRUE","0.128277170156783","TRUE","3","23","Amp","55, 10, 0.5, 16SNEST, 4.4, control_sentino","0.94392029955313","N","N","N"
"749_WC","27.8794384002686","1.94116222858429","81.12060546875","","","","55","10","0.5","16SNEST","4.4","control_sentino","A3","2022-10-24_fieldtrip2_16SNEST_plate3","2022-10-24 17:54:25 PM AWST","3","FALSE","Target 1","UNKNOWN","SYBR","None","27.9143161773682","0.277515232563019","","","","","","","","TRUE","0.128277170156783","TRUE","3","24","Amp","55, 10, 0.5, 16SNEST, 4.4, control_sentino","0.931665306500654","N","N","N"
"761","33.8590621948242","1.94253766536713","80.9006500244141","85.4097595214844","63.7439956665039","","55","10","0.5","16SNEST","4.4","sentino","A4","2022-10-24_fieldtrip2_16SNEST_plate3","2022-10-24 17:54:25 PM AWST","4","FALSE","Target 1","UNKNOWN","SYBR","None","33.8159675598145","0.295553922653198","","","","","","","","TRUE","0.128277170156783","TRUE","3","29","Amp","55, 10, 0.5, 16SNEST, 4.4, sentino","0.870134020017223","N","N","Y"
"761","33.5012321472168","1.95741105079651","80.5511856079102","85.2216186523438","58.6825942993164","89.5074157714844","55","10","0.5","16SNEST","4.4","sentino","A5","2022-10-24_fieldtrip2_16SNEST_plate3","2022-10-24 17:54:25 PM AWST","5","FALSE","Target 1","UNKNOWN","SYBR","None","33.8159675598145","0.295553922653198","","","","","","","","TRUE","0.128277170156783","TRUE","3","29","Amp","55, 10, 0.5, 16SNEST, 4.4, sentino","0.908963309058584","N","N","Y"
"761","34.0876083374023","1.92399215698242","82.9688186645508","57.2539939880371","81.1006469726562","58.8474349975586","55","10","0.5","16SNEST","4.4","sentino","A6","2022-10-24_fieldtrip2_16SNEST_plate3","2022-10-24 17:54:25 PM AWST","6","FALSE","Target 1","UNKNOWN","SYBR","None","33.8159675598145","0.295553922653198","","","","","","","","TRUE","0.128277170156783","TRUE","3","30","Amp","55, 10, 0.5, 16SNEST, 4.4, sentino","0.893661700602601","N","N","Y"
"762","32.5793952941895","1.43245613574982","81.1174240112305","","","","55","10","0.5","16SNEST","4.4","sentino","A7","2022-10-24_fieldtrip2_16SNEST_plate3","2022-10-24 17:54:25 PM AWST","7","FALSE","Target 1","UNKNOWN","SYBR","None","32.6311950683594","0.378891706466675","","","","","","","","TRUE","0.128277170156783","TRUE","3","28","Amp","55, 10, 0.5, 16SNEST, 4.4, sentino","0.984402480682706","N","N","N"
"762","32.2808723449707","1.20840215682983","81.0074615478516","85.1859817504883","72.1006317138672","64.1284637451172","55","10","0.5","16SNEST","4.4","sentino","A8","2022-10-24_fieldtrip2_16SNEST_plate3","2022-10-24 17:54:25 PM AWST","8","FALSE","Target 1","UNKNOWN","SYBR","None","32.6311950683594","0.378891706466675","","","","","","","","TRUE","0.128277170156783","TRUE","3","25","Amp","55, 10, 0.5, 16SNEST, 4.4, sentino","0.972295390438273","N","N","Y"
"762","33.0333251953125","1.54247033596039","81.0196838378906","","","","55","10","0.5","16SNEST","4.4","sentino","A9","2022-10-24_fieldtrip2_16SNEST_plate3","2022-10-24 17:54:25 PM AWST","9","FALSE","Target 1","UNKNOWN","SYBR","None","32.6311950683594","0.378891706466675","","","","","","","","TRUE","0.128277170156783","TRUE","3","28","Amp","55, 10, 0.5, 16SNEST, 4.4, sentino","0.917260004679539","N","N","N"
"763","32.3324432373047","1.67046248912811","81.5147476196289","73.7587432861328","","","55","10","0.5","16SNEST","4.4","sentino","A10","2022-10-24_fieldtrip2_16SNEST_plate3","2022-10-24 17:54:25 PM AWST","10","FALSE","Target 1","UNKNOWN","SYBR","None","32.4117698669434","0.276948690414429","","","","","","","","TRUE","0.128277170156783","TRUE","3","27","Amp","55, 10, 0.5, 16SNEST, 4.4, sentino","0.979883337233515","N","N","Y"
